Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
"Refined Fool, Zane Lost His Avocado Bag, Brut IPA",3.75,1,473,7.6,Can,Ale,0.104,3.75,473,35.948
Railway City Whistle Stop Hazy Pale Ale,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
Muskoka Brewery Nitro Drifter Hazy Pale Ale,3.75,1,473,5.6,Can,Ale,0.142,3.75,473,26.488
Omnipollo Zodiak IPA,4.2,1,473,6.2,Can,Ale,0.143,4.2,473,29.326
Omnipollo Lorpan IPA,4.25,1,473,6.8,Can,Ale,0.132,4.25,473,32.164
Left Field Brewery Greenwood IPA,3.9,1,355,6.3,Can,Ale,0.174,3.9,355,22.365
Nickel Brook Wicked Awesome IPA,3.5,1,473,6.5,Can,Ale,0.114,3.5,473,30.745
Muskoka Cream Ale,3.7,1,473,5.0,Can,Ale,0.156,3.7,473,23.65
O hara's Irish Nitro Stout,3.7,1,440,4.3,Can,Ale,0.196,3.7,440,18.92
Mill St. Cobblestone Stout,3.6,1,404,4.2,Can,Ale,0.212,3.6,404,16.968
Kronenbourg 1664 Tricolour Mixer Pack,17.95,6,355,5.0,Can,Ale,0.169,2.992,2130,106.5
Manitoulin Brewing Killarney Cream Ale,3.7,1,473,5.0,Can,Ale,0.156,3.7,473,23.65
Lost Craft Grapefruit IPA,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
KONA BIG WAVE GOLDEN ALE,20.15,6,355,4.3,Bottle,Ale,0.22,3.358,2130,91.59
Muskoka Mad Tom IPA,3.85,1,473,6.4,Can,Ale,0.127,3.85,473,30.272
Manitoulin Brewing Swingbridge Blonde Ale,3.5,1,473,5.2,Can,Ale,0.142,3.5,473,24.596
Lion Stout,3.95,1,473,8.8,Can,Ale,0.095,3.95,473,41.624
Muskoka Detour,3.7,1,473,4.3,Can,Ale,0.182,3.7,473,20.339
Left Field Brewery Ice Cold Beer,2.95,1,355,4.5,Can,Ale,0.185,2.95,355,15.975
Muskoka Detour,20.95,6,473,4.3,Can,Ale,0.172,3.492,2838,122.034
Maclay's Traditional Pale Ale,2.35,1,473,5.0,Can,Ale,0.099,2.35,473,23.65
Lost Craft Revivale,3.35,1,473,4.8,Can,Ale,0.148,3.35,473,22.704
Left Field Sno-Cone Lemon Lime Gose,3.95,1,355,5.0,Can,Ale,0.223,3.95,355,17.75
La Trappe Quadrupel Ale,12.75,1,750,10.0,Bottle,Ale,0.17,12.75,750,75.0
Leffe Blonde,19.1,6,330,6.5,Bottle,Ale,0.148,3.183,1980,128.7
Lambiek Fabriek Juicy & Wild,11.6,1,750,8.8,Bottle,Ale,0.176,11.6,750,66.0
La Trappe Tripel,10.0,1,750,8.0,Bottle,Ale,0.167,10.0,750,60.0
Lower West Side West Coast IPA,3.5,1,473,6.0,Can,Ale,0.123,3.5,473,28.38
Kilkenny Irish Ale,12.65,4,500,4.3,Can,Ale,0.147,3.162,2000,86.0
Henderson's Best,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
Kronenbourg 1664,3.3,1,473,5.0,Can,Ale,0.14,3.3,473,23.65
Henderson x Rush Canadian Golden Ale,3.4,1,473,5.5,Can,Ale,0.131,3.4,473,26.015
Guinness Extra Stout,17.15,6,330,5.0,Bottle,Ale,0.173,2.858,1980,99.0
Great Lakes Brewery HazeMama,3.65,1,473,7.0,Can,Ale,0.11,3.65,473,33.11
Great Lakes Brewery  Pompous Ass English Ale,3.0,1,473,4.2,Can,Ale,0.151,3.0,473,19.866
Great Lakes Brewery  Canuck Pale Ale,3.25,1,473,5.2,Can,Ale,0.132,3.25,473,24.596
"Henderson's ""Food Truck"" Lagered Blonde",3.3,1,473,4.8,Can,Ale,0.145,3.3,473,22.704
Great Lakes Brewery Octopus Wants To Fight IPA,3.65,1,473,6.2,Can,Ale,0.124,3.65,473,29.326
Great Lakes Brewery Sunnyside Session IPA,3.25,1,473,3.9,Can,Ale,0.176,3.25,473,18.447
Goose Island IPA,3.25,1,473,5.9,Can,Ale,0.116,3.25,473,27.907
Hockley Dark,3.15,1,473,5.0,Can,Ale,0.133,3.15,473,23.65
Henderson's Brewing Co. Pearson Express IPA,3.65,1,473,6.5,Can,Ale,0.119,3.65,473,30.745
Great Lakes Brewery BURST!,3.25,1,473,4.5,Can,Ale,0.153,3.25,473,21.285
Hop Valley Bubble Stash,3.65,1,473,6.2,Can,Ale,0.124,3.65,473,29.326
Goodlot Mellow Gold,3.5,1,473,4.7,Can,Ale,0.157,3.5,473,22.231
Four Fathers Brewing The Starter,3.5,1,473,4.8,Can,Ale,0.154,3.5,473,22.704
Flying Monkeys Juicy Ass,20.95,6,473,6.5,Can,Ale,0.114,3.492,2838,184.47
Flying Monkeys Sparklepuff Triple IPA,4.95,1,473,10.2,Can,Ale,0.103,4.95,473,48.246
Flying Monkeys Crowd Surf Motel Passion Fruit IPA,3.95,1,473,7.0,Can,Ale,0.119,3.95,473,33.11
Guinness Draught,3.8,1,500,4.2,Can,Ale,0.181,3.8,500,21.0
Erdinger Weissbier,3.95,1,500,5.2,Bottle,Ale,0.152,3.95,500,26.0
Flying Monkeys Rainbows & Smiles Sherbet DIPA,4.35,1,473,8.1,Can,Ale,0.114,4.35,473,38.313
Flying Monkeys Quantum Hugs Cold IPA,3.75,1,473,6.1,Can,Ale,0.13,3.75,473,28.853
Cowbell Brewing Co Sunsplash Session IPA,3.65,1,473,4.3,Can,Ale,0.179,3.65,473,20.339
Creemore Session IPA,3.6,1,473,5.1,Can,Ale,0.149,3.6,473,24.123
Creemore Pale Ale,3.6,1,473,5.6,Can,Ale,0.136,3.6,473,26.488
Creemore Witbier,3.8,1,473,4.5,Can,Ale,0.179,3.8,473,21.285
Flying Monkeys Velvet Bubble Lord Blueberry Sour,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Cowbell Brewing Co. Bobcat,3.6,1,473,5.5,Can,Ale,0.138,3.6,473,26.015
Flying Monkeys Juicy Ass,3.85,1,473,6.5,Can,Ale,0.125,3.85,473,30.745
Flying Monkeys Space Age Sunshine Quadruple IPA,5.35,1,473,11.6,Can,Ale,0.098,5.35,473,54.868
Cowbell Brewing Co. Absent Landlord,3.55,1,473,5.3,Can,Ale,0.142,3.55,473,25.069
Chimay Premiere,10.4,1,750,7.0,Bottle,Ale,0.198,10.4,750,52.5
Chimay Blue Cap,5.25,1,330,9.0,Bottle,Ale,0.177,5.25,330,29.7
Double Trouble Sucker Punch Red Raspberry Sour Ale,3.55,1,473,5.7,Can,Ale,0.132,3.55,473,26.961
Cowbell Brewing Co. Hazy Days IPA,3.85,1,473,6.0,Can,Ale,0.136,3.85,473,28.38
Cowbell Brewing Co Mimosa Sour,3.75,1,473,4.9,Can,Ale,0.162,3.75,473,23.177
Cameron's Brewing Good Trip IPA,3.85,1,473,6.5,Can,Ale,0.125,3.85,473,30.745
Collective Arts Beyond Reason,3.25,1,473,2.9,Can,Ale,0.237,3.25,473,13.717
Burdock Brewery Lime Gose,4.95,1,473,4.0,Can,Ale,0.262,4.95,473,18.92
Blood Brothers Brewing Shumei,4.95,1,473,7.0,Can,Ale,0.15,4.95,473,33.11
Burdock Brewery Tuesday Saison,4.5,1,473,5.2,Can,Ale,0.183,4.5,473,24.596
Beyond The Pale Pink Fuzz,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Beau's Lug Tread,20.25,6,473,5.2,Can,Ale,0.137,3.375,2838,147.576
Beau's Lug Tread,3.85,1,473,5.2,Can,Ale,0.157,3.85,473,24.596
Big Rig Madkap Raspberry Wheat,3.25,1,473,7.0,Can,Ale,0.098,3.25,473,33.11
Bench Brewing Ball's Falls Session IPA,3.55,1,473,4.5,Can,Ale,0.167,3.55,473,21.285
Beyond The Pale Aromatherapy IPA,4.5,1,473,6.5,Can,Ale,0.146,4.5,473,30.745
Beyond The Pale Brewing Co. Yummy!,4.15,1,473,5.2,Can,Ale,0.169,4.15,473,24.596
Bellwoods Jelly King Sour,6.5,1,500,5.6,Bottle,Ale,0.232,6.5,500,28.0
Brock Street Mango Tango Hazy IPA,3.65,1,473,6.0,Can,Ale,0.129,3.65,473,28.38
Alexander Keith's India Pale Ale,3.3,1,473,5.0,Can,Ale,0.14,3.3,473,23.65
Bellwoods Brewery Purple Paisley IPA,5.0,1,473,7.0,Can,Ale,0.151,5.0,473,33.11
Bobcaygeon Brewing Northern Lights,3.95,1,473,6.1,Can,Ale,0.137,3.95,473,28.853
Bellwoods Jelly King Non-Alc Sour,5.0,1,473,0.05,Can,Ale,21.142,5.0,473,0.0
Blanche De Chambly,3.25,1,473,5.0,Can,Ale,0.137,3.25,473,23.65
Alexander Keith's IPA,19.5,6,473,5.0,Can,Ale,0.137,3.25,2838,141.9
Bellwoods Brewery Jelly King Prickly Pear & Pink Guava,7.5,1,500,5.6,Bottle,Ale,0.268,7.5,500,28.0
Blue Moon Mango Wheat,3.25,1,473,5.4,Can,Ale,0.127,3.25,473,25.542
Bellwoods Roman Candle,4.5,1,473,6.8,Can,Ale,0.14,4.5,473,32.164
Bellwoods Jelly King Spicy Margarita Sour,6.5,1,473,5.6,Can,Ale,0.245,6.5,473,26.488
Blood Brothers Auto Pop Tahitian Treats,4.95,1,473,4.0,Can,Ale,0.262,4.95,473,18.92
Bobcaygeon Brewing Dockside,3.65,1,473,5.0,Can,Ale,0.154,3.65,473,23.65
Blue Moon,3.25,1,473,5.4,Can,Ale,0.127,3.25,473,25.542
Beau's Lug Tread Keg,37.95,1,5000,5.2,Can,Ale,0.146,37.95,5000,260.0
Bellwoods Jutsu Pale Ale,4.5,1,473,5.6,Can,Ale,0.17,4.5,473,26.488
Abbot Ale,3.2,1,500,5.0,Can,Ale,0.128,3.2,500,25.0
1664 Kronenbourg Blanc,15.95,6,330,5.0,Bottle,Ale,0.161,2.658,1980,99.0
St-Ambroise Oatmeal Stout,3.2,1,473,5.0,Can,Ale,0.135,3.2,473,23.65
Rainhard Brewing From Beyond IPA,3.85,1,473,6.0,Can,Ale,0.136,3.85,473,28.38
Railway City Boxcar Juicy IPA,3.75,1,473,6.0,Can,Ale,0.132,3.75,473,28.38
Henderson x Rush Moving Pictures 2024,13.95,1,500,11.5,Bottle,Ale,0.243,13.95,500,57.5
Double Trouble Hops & Robbers IPA,3.45,1,473,5.7,Can,Ale,0.128,3.45,473,26.961
Lake of the Woods Lakeside Kolsch,3.75,1,473,5.0,Can,Ale,0.159,3.75,473,23.65
Budgie Smuggler Australian Sparkling Ale,3.4,1,473,5.5,Can,Ale,0.131,3.4,473,26.015
Beyond The Pale Pale Ale Project,3.75,1,473,4.9,Can,Ale,0.162,3.75,473,23.177
Deschutes Haze Tron Imperial Hazy IPA,13.7,4,355,8.0,Can,Ale,0.121,3.425,1420,113.6
Big Rig Brewery Shakedown APA,3.85,1,473,5.6,Can,Ale,0.145,3.85,473,26.488
Founders All Day IPA,4.6,1,568,4.7,Can,Ale,0.172,4.6,568,26.696
Black Bellows Big Buck IPA,4.45,1,473,6.5,Can,Ale,0.145,4.45,473,30.745
Hockley Amber,3.15,1,473,5.0,Can,Ale,0.133,3.15,473,23.65
Bellwoods Ratclops IPA,5.0,1,473,6.0,Can,Ale,0.176,5.0,473,28.38
Canvas Brewing Big Bend Hazelnut Stout,4.25,1,473,5.0,Can,Ale,0.18,4.25,473,23.65
Henderson's Toronto Circus Riot Old Ale,5.95,1,473,9.0,Can,Ale,0.14,5.95,473,42.57
Anderson Craft Ales Mexican Porter,15.45,6,355,8.2,Can,Ale,0.088,2.575,2130,174.66
Small Pony Barrel Works SMUV Pumpkin,6.95,1,473,5.0,Can,Ale,0.294,6.95,473,23.65
FRANK Brewing Co. Hopservation Double IPA,4.95,1,473,8.5,Can,Ale,0.123,4.95,473,40.205
Refined Fool Two Vans Full of Weirdos Double Juicy DIPA,3.95,1,473,8.2,Can,Ale,0.102,3.95,473,38.786
Collingwood X Kuma Lazy Bear Blonde Ale,3.5,1,473,4.8,Can,Ale,0.154,3.5,473,22.704
Bench Brewing Hopsters Cryo IPA,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Goose Island Juicy Haze Beer Hug,3.65,1,473,6.4,Can,Ale,0.121,3.65,473,30.272
Daft Brewing Follow Your Nose Blackberry Sour IPA,4.75,1,473,6.5,Can,Ale,0.154,4.75,473,30.745
Beau's Nordic Pale Ale,3.75,1,473,5.6,Can,Ale,0.142,3.75,473,26.488
Mill Street Brewery 1 in 12 Phantasm NEIPA,4.5,1,473,7.0,Can,Ale,0.136,4.5,473,33.11
Whiprsnapr Brewing Co Wanderer Bohemian Pilsner,3.5,1,473,5.4,Can,Ale,0.137,3.5,473,25.542
United Craft Sucker Punch Spring Sour,3.55,1,473,5.7,Can,Ale,0.132,3.55,473,26.961
Whitewater Brewing Co.  Farmer's Daughter,3.65,1,473,5.0,Can,Ale,0.154,3.65,473,23.65
Sons of Kent Juice Box IPA,4.5,1,473,6.9,Can,Ale,0.138,4.5,473,32.637
Slake Brewing Sunset Pale Ale,4.5,1,473,4.6,Can,Ale,0.207,4.5,473,21.758
Walkerville Brewery Rob Roy Scotch Ale,3.6,1,473,7.2,Can,Ale,0.106,3.6,473,34.056
Stonehooker Brewing Co. Broad Reach,3.8,1,473,5.4,Can,Ale,0.149,3.8,473,25.542
Walkerville Brewery Smooth Sail Summer Ale,3.65,1,473,3.9,Can,Ale,0.198,3.65,473,18.447
Woodhouse Raspberry Sour,3.75,1,473,4.8,Can,Ale,0.165,3.75,473,22.704
Two Loons Brewing Two Loons IPA,3.95,1,473,6.3,Can,Ale,0.133,3.95,473,29.799
Sandwich Brewing Co White Bronco Juicy IPA,3.95,1,473,5.7,Can,Ale,0.147,3.95,473,26.961
Turkey Shoot Brewing Co. Lake Simcoe Lagered Ale,3.75,1,473,4.8,Can,Ale,0.165,3.75,473,22.704
Trestle Brewing Company South Channel Ale,3.95,1,473,5.9,Can,Ale,0.142,3.95,473,27.907
The Second Wedge Brewing Co 3 Rocks IPA,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Willibald City Slicker IPA Ontario,5.0,1,473,6.8,Can,Ale,0.155,5.0,473,32.164
Publican House Square Nail Pale Ale,3.6,1,473,5.5,Can,Ale,0.138,3.6,473,26.015
The Second Wedge Brewing High Grass Lemongrass Ginger Saison,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Couchiching Craft Brewing Co. Sunshine City Blonde,3.25,1,473,4.8,Can,Ale,0.143,3.25,473,22.704
Rouge River Brewing Fresh Nectar Double IPA,5.5,1,473,8.2,Can,Ale,0.142,5.5,473,38.786
The Kingston Brewing Co Whitetail Cream Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Something In The Water Hazy Maitland IPA,4.5,1,473,6.5,Can,Ale,0.146,4.5,473,30.745
Slake Brewing Slow Slow IPA,4.95,1,473,6.5,Can,Ale,0.161,4.95,473,30.745
Second Wedge Monday Night Piper Scottish Style Ale,3.6,1,473,4.8,Can,Ale,0.159,3.6,473,22.704
Slake Brewing Hatch Pale Ale,4.5,1,473,5.2,Can,Ale,0.183,4.5,473,24.596
Stalwart Brewing Snake Oil IPA,4.45,1,473,6.8,Can,Ale,0.138,4.45,473,32.164
Sawdust City Juicin New England IPA,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Sawdust City White Tulip,4.25,1,473,5.0,Can,Ale,0.18,4.25,473,23.65
Storm Stayed Brewing Sunburst,2.95,1,355,5.4,Can,Ale,0.154,2.95,355,19.17
Small Pony Barrel Works Half Remembered Dream,6.5,1,473,5.0,Can,Ale,0.275,6.5,473,23.65
Radical Road Yuzu Pale Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Old Dog Brewing Single Malt Scottie,3.55,1,473,4.7,Can,Ale,0.16,3.55,473,22.231
Sawdust City Lone Pine IPA,3.95,1,473,6.2,Can,Ale,0.135,3.95,473,29.326
Rorschach Brewing Truth Serum,3.5,1,355,6.5,Can,Ale,0.152,3.5,355,23.075
Sawdust City Skinny Dippin' Stout,3.75,1,473,5.5,Can,Ale,0.144,3.75,473,26.015
Rouge River Brewing Dankzilla Double IPA,5.5,1,473,8.4,Can,Ale,0.138,5.5,473,39.732
Mill Street Spin Session IPA,3.7,1,473,4.9,Can,Ale,0.16,3.7,473,23.177
Skeleton Park Sol Juice IPA,3.85,1,473,6.0,Can,Ale,0.136,3.85,473,28.38
Rouge River Brewery Holy Trinity IPA,4.5,1,473,6.8,Can,Ale,0.14,4.5,473,32.164
Sawdust City Two Pad Stack IPA,4.75,1,473,9.0,Can,Ale,0.112,4.75,473,42.57
Matron Brewery Deece IPA,4.75,1,473,4.0,Can,Ale,0.251,4.75,473,18.92
Quayle's Brewery Fiddle & Field Pale Ale,3.75,1,473,5.6,Can,Ale,0.142,3.75,473,26.488
Sawdust City Twin Pines Double IPA,4.65,1,473,9.0,Can,Ale,0.109,4.65,473,42.57
Perth Brewery Hop Side IPA,3.7,1,473,5.5,Can,Ale,0.142,3.7,473,26.015
Mascot Brewery Watermelon Beet Sour,3.75,1,473,4.5,Can,Ale,0.176,3.75,473,21.285
Perth Brewery Pineapple Pizazz Sour,4.1,1,473,4.5,Can,Ale,0.193,4.1,473,21.285
Paulaner Weissbier Dunkel,3.5,1,500,5.3,Can,Ale,0.132,3.5,500,26.5
Parsons Brewing Westy Pale Ale,3.95,1,473,5.7,Can,Ale,0.147,3.95,473,26.961
Omnipollo Nebuchadnezzar IIPA,3.8,1,473,8.5,Can,Ale,0.095,3.8,473,40.205
Moosehead Small Batch East Coast IPA,3.6,1,473,5.9,Can,Ale,0.129,3.6,473,27.907
New Ontario Brewing Big & Juicy IPA,3.55,1,473,6.5,Can,Ale,0.115,3.55,473,30.745
Nickel Brook Chilly Tins New Zealand IPA,3.75,1,473,4.5,Can,Ale,0.176,3.75,473,21.285
Powerhouse Brewing Co. Low Voltage Cream Ale,3.65,1,473,4.7,Can,Ale,0.164,3.65,473,22.231
Old Credit Amber Ale,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Paulaner Hefe-Weissbier,3.5,1,500,5.5,Can,Ale,0.127,3.5,500,27.5
Mill Street Haze Phaze IPA,3.7,1,473,6.2,Can,Ale,0.126,3.7,473,29.326
Nickel Brook Party Dad IPA,3.75,1,473,3.5,Can,Ale,0.227,3.75,473,16.555
Parsons Brewing Noice India Pale Ale,3.95,1,473,6.1,Can,Ale,0.137,3.95,473,28.853
Muddy York TwoCan Hazy Pale Ale,3.95,1,473,5.4,Can,Ale,0.155,3.95,473,25.542
Lake of Bays Off the Grid Hazy Pale Ale,3.65,1,473,4.7,Can,Ale,0.164,3.65,473,22.231
Lagunitas IPA,3.55,1,500,6.2,Can,Ale,0.115,3.55,500,31.0
Mill Street Pineapple Lime Sour,3.8,1,473,5.2,Can,Ale,0.154,3.8,473,24.596
Left Field Brewing Long Shot Pale Ale,3.9,1,355,4.2,Can,Ale,0.262,3.9,355,14.91
Lake Of Bays Low Tide 90 Calorie IPA,3.45,1,473,2.5,Can,Ale,0.292,3.45,473,11.825
Leffe Brune,19.95,6,330,6.5,Bottle,Ale,0.155,3.325,1980,128.7
Lakefront La Gosa Rita Margarita Style Ale,13.4,4,473,4.6,Can,Ale,0.154,3.35,1892,87.032
Kichesippi 1855 Amber Ale,3.4,1,473,5.2,Can,Ale,0.138,3.4,473,24.596
Lake of Bays Brewing - Starboard New England IPA,3.75,1,473,5.4,Can,Ale,0.147,3.75,473,25.542
Karbon Brewing Co. J.E.D.I Hazy IPA,3.45,1,473,6.5,Can,Ale,0.112,3.45,473,30.745
Lake Of Bays Keep Rollin' Tropical Fruit Pale Ale,3.7,1,473,5.0,Can,Ale,0.156,3.7,473,23.65
"Kingston Brewing Company, Double Dry Hopped IPA",4.0,1,473,6.5,Can,Ale,0.13,4.0,473,30.745
Indie Ale House Tarana Saurus,4.5,1,473,6.7,Can,Ale,0.142,4.5,473,31.691
KLB Raspberry Wheat Ale,3.65,1,473,4.5,Can,Ale,0.171,3.65,473,21.285
Indie Ale House Swirl Raspberry Cherry Sour,4.95,1,473,5.0,Can,Ale,0.209,4.95,473,23.65
KLB Lazy Waves Hazy IPA,3.9,1,473,6.0,Can,Ale,0.137,3.9,473,28.38
Innis & Gunn Original,20.95,6,473,6.6,Can,Ale,0.112,3.492,2838,187.308
Hometown Brew Southern Ale,3.2,1,473,4.9,Can,Ale,0.138,3.2,473,23.177
Junction Craft Hazy IPA,3.65,1,473,6.2,Can,Ale,0.124,3.65,473,29.326
Jackass Brewing Sunkiss NEIPA,3.45,1,473,6.5,Can,Ale,0.112,3.45,473,30.745
Imperial City Brewhouse Wheat POG,3.65,1,473,5.3,Can,Ale,0.146,3.65,473,25.069
Indie Ale House Rabbit of Caerbannog IPA,5.0,1,473,6.0,Can,Ale,0.176,5.0,473,28.38
Innis & Gunn The Original,17.0,6,330,6.6,Bottle,Ale,0.13,2.833,1980,130.68
Hoegaarden,3.65,1,500,4.9,Can,Ale,0.149,3.65,500,24.5
Hacker Pschorr Weisse Bier,3.25,1,500,5.5,Can,Ale,0.118,3.25,500,27.5
Ganaraska Brewing Hazy Rapids Juicy IPA,3.95,1,473,5.6,Can,Ale,0.149,3.95,473,26.488
GRAND RIVER BREWING PALE ALE,3.5,1,473,5.0,Can,Ale,0.148,3.5,473,23.65
Gateway City Brewery 137 Rye Pale Ale,3.45,1,473,5.1,Can,Ale,0.143,3.45,473,24.123
Frank Brewing Co. Sunshine IPA,4.05,1,473,6.1,Can,Ale,0.14,4.05,473,28.853
Gateway City Brewery 11.17 India Session Ale,3.5,1,473,4.5,Can,Ale,0.164,3.5,473,21.285
Fixed Gear Brewing Fixie Citra IPA,3.75,1,473,3.8,Can,Ale,0.209,3.75,473,17.974
Frank Brewing Co. Hoperator,3.75,1,473,5.1,Can,Ale,0.155,3.75,473,24.123
Fixed Gear Brewing Cherry Training Wheels Sour,4.25,1,473,4.0,Can,Ale,0.225,4.25,473,18.92
Frank Brewing Co. Bombshell Blonde Ale,3.4,1,473,4.4,Can,Ale,0.163,3.4,473,20.812
Elora Brewing Company Lady Friend IPA,3.95,1,473,6.0,Can,Ale,0.139,3.95,473,28.38
Erdinger Weissbier,3.75,1,500,5.3,Can,Ale,0.142,3.75,500,26.5
Great Lakes Brewery Karmadelic IPA,3.65,1,473,6.6,Can,Ale,0.117,3.65,473,31.218
Duvel Beer,4.8,1,330,8.5,Bottle,Ale,0.171,4.8,330,28.05
Grand River Brewing Grand Ave IPA,3.55,1,473,6.5,Can,Ale,0.115,3.55,473,30.745
Dominion City Brewing Town & Country Blonde Ale,3.5,1,473,5.5,Can,Ale,0.135,3.5,473,26.015
Full Beard Brewing The Bearded Prospector,3.55,1,473,4.5,Can,Ale,0.167,3.55,473,21.285
Full Beard Brewing - The Master of Beta,3.55,1,473,4.5,Can,Ale,0.167,3.55,473,21.285
Fixed Gear Brewing Breakaway IPA,3.65,1,473,5.5,Can,Ale,0.14,3.65,473,26.015
Danforth Brewery Viaduct IPA,3.6,1,473,6.0,Can,Ale,0.127,3.6,473,28.38
Cowbell Brewing Co. Blood Orange Wheat Ale,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
Covered Bridge Brewing Lumbersexual Session IPA,2.95,1,473,3.5,Can,Ale,0.178,2.95,473,16.555
Collingwood Happy Tails Session IPA,3.45,1,473,4.5,Can,Ale,0.162,3.45,473,21.285
Fairweather Brewing High Grade IPA,4.5,1,473,6.2,Can,Ale,0.153,4.5,473,29.326
Eagle IPA,3.15,1,500,5.0,Can,Ale,0.126,3.15,500,25.0
Erdinger Dunkel Weissbier,3.95,1,500,5.6,Bottle,Ale,0.141,3.95,500,28.0
Elora Brewing Maxin Relaxin Session IPA,4.5,1,473,4.2,Can,Ale,0.227,4.5,473,19.866
Collective Arts Peak to Peak West Coast IPA,4.75,1,473,7.0,Can,Ale,0.143,4.75,473,33.11
Collingwood Brewery Downhill Pale Ale,3.55,1,473,5.4,Can,Ale,0.139,3.55,473,25.542
Clifford Brewing Pinball Wizard,3.75,1,473,5.7,Can,Ale,0.139,3.75,473,26.961
Cold Break Sublime IPA,3.75,1,473,5.5,Can,Ale,0.144,3.75,473,26.015
C'est What Durham Al's Cask Ale,3.75,1,473,4.3,Can,Ale,0.184,3.75,473,20.339
Dominion City Sunsplit IPA,5.1,1,473,6.5,Can,Ale,0.166,5.1,473,30.745
Dominion City Shape of Home Pale Ale,4.25,1,473,4.5,Can,Ale,0.2,4.25,473,21.285
Canvas Brewing Horizon Hazy IPA,3.75,1,473,6.0,Can,Ale,0.132,3.75,473,28.38
Collective Arts Jam up the Mash,3.95,1,473,5.2,Can,Ale,0.161,3.95,473,24.596
Calabogie Brewing Bogie,3.55,1,473,5.5,Can,Ale,0.136,3.55,473,26.015
Burdock Brewing Ducks IPA,4.85,1,473,6.3,Can,Ale,0.163,4.85,473,29.799
Brock Street Blonde,3.25,1,473,4.5,Can,Ale,0.153,3.25,473,21.285
Silversmith Brewing 20 Hazy Years,3.75,1,473,6.5,Can,Ale,0.122,3.75,473,30.745
Bicycle Craft Velocipede IPA,4.25,1,473,6.0,Can,Ale,0.15,4.25,473,28.38
Bobcaygeon Brewing Amplitude Pink Lemonade Sour,4.5,1,473,5.6,Can,Ale,0.17,4.5,473,26.488
Bicycle Craft Brewery On the Lam IPA,5.0,1,473,6.6,Can,Ale,0.16,5.0,473,31.218
Blanche De Chambly Pomme,3.25,1,473,5.5,Can,Ale,0.125,3.25,473,26.015
Boneshaker IPA,20.95,6,473,7.1,Can,Ale,0.104,3.492,2838,201.498
Broadhead Amber Ale,3.55,1,473,5.0,Can,Ale,0.15,3.55,473,23.65
Brimstone Brewing Sinister Minister IPA,3.6,1,473,7.0,Can,Ale,0.109,3.6,473,33.11
Beau's Wonder Crush Hazy IPA,3.85,1,473,5.0,Can,Ale,0.163,3.85,473,23.65
Bancroft Brewing Prospector's Ale,3.95,1,473,5.8,Can,Ale,0.144,3.95,473,27.434
Amsterdam Fracture Hazy Imperial IPA,4.25,1,473,8.5,Can,Ale,0.106,4.25,473,40.205
Amsterdam Boneshaker,3.75,1,473,7.1,Can,Ale,0.112,3.75,473,33.583
Anderson Craft Ales IPA,3.65,1,473,6.5,Can,Ale,0.119,3.65,473,30.745
Ashton Brewing Amber Ale,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Bancroft Brewing Blueberry Wheat Ale,3.95,1,473,5.8,Can,Ale,0.144,3.95,473,27.434
Bench Brewing Ripple Effect Pale Ale,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Amsterdam Fracture Juicy Imperial IPA,4.25,1,473,10.5,Can,Ale,0.086,4.25,473,49.665
Lake Of Bays Paddle On Session IPA,3.65,1,473,4.5,Can,Ale,0.171,3.65,473,21.285
1000 Islands Brewing Lagered Ale,3.45,1,473,4.0,Can,Ale,0.182,3.45,473,18.92
Ashton Brewing Blueberry Wheat,3.6,1,473,5.0,Can,Ale,0.152,3.6,473,23.65
Wild Card Brewing Notoriously Juicy,4.15,1,473,6.0,Can,Ale,0.146,4.15,473,28.38
Thornbury Craft Co. Haze for Dayz,3.45,1,473,6.0,Can,Ale,0.122,3.45,473,28.38
Innocente Fling Golden Ale,4.0,1,473,5.0,Can,Ale,0.169,4.0,473,23.65
Toboggan Brewing Lunatic Fridge IPA,3.45,1,473,6.2,Can,Ale,0.118,3.45,473,29.326
Vimy Lagered Ale,3.45,1,473,5.2,Can,Ale,0.14,3.45,473,24.596
Nickel Brook Midnight Melt Salted Caramel Stout,4.95,1,355,11.0,Can,Ale,0.127,4.95,355,39.05
